Metric,Model_Name,Dataset_Name,Fairness_Intervention,Experiment_Iteration,Subgroup,Metric_Value
Epistemic_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9131023274423515
Equalized_Odds_FNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.032574636072045415
Equalized_Odds_FPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.04088069235937704
IQR_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.017268543593237998
Jitter_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.02160856236598384
Label_Stability_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,1.0392784636936072
Label_Stability_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.032561079916647584
Overall_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0734320439291597
Overall_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8608149651112823
Statistical_Parity_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.10372376073123296
Disparate_Impact,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.7141049800262064
Std_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.011245693038186538
Std_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8860971538944888
Equalized_Odds_TNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.04088069235937708
Equalized_Odds_TPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.03257463607204536
Accuracy_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.03528204712822902
Aleatoric_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.058062610989069396
Aleatoric_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9132388032463351
Epistemic_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0005824629920480051
Epistemic_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9618890664019671
Equalized_Odds_FNR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.007149025413274113
Equalized_Odds_FPR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.014536853581349513
IQR_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.005499576381455248
Jitter_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.023476182960617376
Label_Stability_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,1.0404555958702895
Label_Stability_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.03589624538230329
Overall_Uncertainty_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0586450739811174
Overall_Uncertainty_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9143250444982657
Statistical_Parity_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.07444435765922919
Disparate_Impact,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.7666294855401692
Std_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.004408082389341317
Std_Ratio,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9215205807791976
Equalized_Odds_TNR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.014536853581349485
Equalized_Odds_TPR,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.007149025413274113
Accuracy_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.03573604311312262
Aleatoric_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.046557001855719315
Aleatoric_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9253609661277202
Epistemic_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.0010529936143988117
Epistemic_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9176434415149424
Equalized_Odds_FNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.02166300737488036
Equalized_Odds_FPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.014270908158029741
IQR_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.005520217013978458
Jitter_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.010609479341857797
